exception_id,created_at,portfolio_id,instrument_type,counterparty,exception_type,exception_description,amount_difference,currency,severity,status,owner_team,due_at,resolved_at,root_cause
EXC-000062,2026-08-08 13:41:00,PORT-1062,Cash,Northstar Clearing,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,42464.0,USD,Medium,In Progress,Pricing & Valuation,2026-08-10 01:41:00,,Data mapping variance
EXC-000063,2026-08-01 08:59:00,PORT-1002,Cash,Cedar Exchange,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,143750.62,USD,Medium,Open,Fund Accounting,2026-08-02 20:59:00,,Ledger posting difference
EXC-000064,2026-08-02 13:24:00,PORT-1081,ETF,Aurora Securities,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,22104.96,GBP,Critical,Open,Compliance Operations,2026-08-02 19:24:00,,Policy threshold review
EXC-000065,2026-08-05 08:18:00,PORT-1074,FX,Meridian Markets,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,80439.8,USD,High,Escalated,Client Reporting,2026-08-06 00:18:00,,Upstream data delivery delay
EXC-000066,2026-08-04 09:08:00,PORT-1027,Derivative,Meridian Markets,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,11141.33,EUR,Medium,Open,Fund Accounting,2026-08-05 21:08:00,,Data mapping variance
EXC-000067,2026-08-08 15:15:00,PORT-1031,Cash,Cedar Exchange,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,39774.09,EUR,Medium,Resolved,Fund Accounting,2026-08-10 03:15:00,2026-08-09 11:33:08.599232953,Ledger posting difference
EXC-000068,2026-08-07 06:45:00,PORT-1076,Equity,Summit Custody,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,1970.3,USD,Low,Resolved,Trade Support,2026-08-10 06:45:00,2026-08-11 23:51:05.566394722,Data mapping variance
EXC-000069,2026-08-06 20:50:00,PORT-1079,ETF,Summit Custody,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,9918.41,USD,Medium,Open,Reconciliation Operations,2026-08-08 08:50:00,,Position or cash mismatch
EXC-000070,2026-07-31 14:07:00,PORT-1008,Derivative,Meridian Markets,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,26730.84,EUR,High,Open,Pricing & Valuation,2026-08-01 06:07:00,,Market data variance
EXC-000071,2026-08-08 05:21:00,PORT-1036,Fixed Income,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,18370.02,USD,High,In Progress,Trade Support,2026-08-08 21:21:00,,Counterparty confirmation delay
EXC-000072,2026-08-06 11:22:00,PORT-1062,Fixed Income,Northstar Clearing,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,6866.1,GBP,Low,In Progress,Pricing & Valuation,2026-08-09 11:22:00,,Market data variance
EXC-000073,2026-08-08 00:30:00,PORT-1013,Cash,Meridian Markets,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,15920.47,USD,Critical,In Progress,Reference Data Operations,2026-08-08 06:30:00,,Security master attribute gap
EXC-000074,2026-08-06 12:06:00,PORT-1098,Cash,Cedar Exchange,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,38030.27,USD,High,Resolved,Trade Support,2026-08-07 04:06:00,2026-08-06 22:06:28.356077747,Counterparty confirmation delay
EXC-000075,2026-08-09 06:20:00,PORT-1021,Cash,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,24574.41,GBP,Medium,Open,Reconciliation Operations,2026-08-10 18:20:00,,Position or cash mismatch
EXC-000076,2026-08-06 14:44:00,PORT-1085,Derivative,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,28680.84,USD,Low,Open,Trade Support,2026-08-09 14:44:00,,Counterparty confirmation delay
EXC-000077,2026-08-02 02:34:00,PORT-1007,Equity,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,58021.4,GBP,Medium,Open,Trade Support,2026-08-03 14:34:00,,Manual processing error
EXC-000078,2026-08-01 16:19:00,PORT-1086,Fixed Income,Cedar Exchange,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,18763.69,USD,High,In Progress,Client Reporting,2026-08-02 08:19:00,,Upstream data delivery delay
EXC-000079,2026-08-05 12:30:00,PORT-1004,ETF,Meridian Markets,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,112098.9,USD,Medium,In Progress,Fund Accounting,2026-08-07 00:30:00,,Ledger posting difference
EXC-000080,2026-08-02 06:43:00,PORT-1067,ETF,Meridian Markets,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,9521.1,USD,Medium,Escalated,Reference Data Operations,2026-08-03 18:43:00,,Security master attribute gap
EXC-000081,2026-08-03 04:11:00,PORT-1036,Fixed Income,Meridian Markets,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,203699.81,EUR,High,Open,Client Reporting,2026-08-03 20:11:00,,Upstream data delivery delay
EXC-000082,2026-07-31 07:40:00,PORT-1046,FX,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,86568.44,GBP,High,Resolved,Pricing & Valuation,2026-07-31 23:40:00,2026-08-01 02:49:22.727856639,Market data variance
EXC-000083,2026-08-01 07:01:00,PORT-1011,Fixed Income,Cedar Exchange,Reference Data Issue,Synthetic reference-data record has a missing or inconsistent attribute.,18512.52,GBP,High,Resolved,Reference Data Operations,2026-08-01 23:01:00,2026-08-01 18:16:53.485483496,Data mapping variance
EXC-000084,2026-08-07 00:48:00,PORT-1067,Derivative,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,19855.08,JPY,High,Resolved,Reconciliation Operations,2026-08-07 16:48:00,2026-08-07 04:48:07.482397434,Position or cash mismatch
EXC-000085,2026-08-03 11:19:00,PORT-1061,Fixed Income,Northstar Clearing,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,33425.43,EUR,Low,Resolved,Reconciliation Operations,2026-08-06 11:19:00,2026-08-08 03:05:14.233857455,Position or cash mismatch
EXC-000086,2026-08-01 12:12:00,PORT-1032,Fixed Income,Cedar Exchange,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,50443.26,GBP,High,Open,Reconciliation Operations,2026-08-02 04:12:00,,Position or cash mismatch
EXC-000087,2026-08-06 06:40:00,PORT-1047,Equity,Meridian Markets,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,84903.93,USD,Medium,Resolved,Compliance Operations,2026-08-07 18:40:00,2026-08-06 20:00:56.954216364,Late file delivery
EXC-000088,2026-08-03 14:38:00,PORT-1055,Equity,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,6583.88,JPY,Low,In Progress,Pricing & Valuation,2026-08-06 14:38:00,,Market data variance
EXC-000089,2026-08-05 08:26:00,PORT-1068,Derivative,Summit Custody,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,42587.44,EUR,Critical,Resolved,Reconciliation Operations,2026-08-05 14:26:00,2026-08-05 17:49:32.163634384,Position or cash mismatch
EXC-000090,2026-08-06 06:14:00,PORT-1053,Fixed Income,Northstar Clearing,Accounting Difference,Synthetic accounting control detected a ledger variance requiring review.,2915.1,GBP,Low,Open,Fund Accounting,2026-08-09 06:14:00,,Late file delivery
EXC-000091,2026-08-07 08:50:00,PORT-1006,Equity,Cedar Exchange,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,22333.31,USD,Low,Resolved,Reconciliation Operations,2026-08-10 08:50:00,2026-08-08 04:51:13.007799561,Position or cash mismatch
EXC-000092,2026-08-08 23:32:00,PORT-1054,Derivative,Cedar Exchange,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,123822.97,USD,Medium,Resolved,Client Reporting,2026-08-10 11:32:00,2026-08-09 18:33:24.474965534,Data mapping variance
EXC-000093,2026-08-01 20:46:00,PORT-1035,ETF,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,6072.41,EUR,Medium,Resolved,Pricing & Valuation,2026-08-03 08:46:00,2026-08-04 03:48:40.078709145,Market data variance
EXC-000094,2026-08-01 03:44:00,PORT-1041,Equity,Summit Custody,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,5018.07,USD,Low,Open,Pricing & Valuation,2026-08-04 03:44:00,,Data mapping variance
EXC-000095,2026-08-02 20:03:00,PORT-1037,Fixed Income,Harbor Trade Services,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,33922.54,USD,Medium,Resolved,Trade Support,2026-08-04 08:03:00,2026-08-04 12:38:32.750624216,Manual processing error
EXC-000096,2026-08-06 23:23:00,PORT-1035,Equity,Summit Custody,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,115473.99,JPY,High,Resolved,Client Reporting,2026-08-07 15:23:00,2026-08-07 05:56:30.796233856,Upstream data delivery delay
EXC-000097,2026-08-09 03:41:00,PORT-1024,FX,Harbor Trade Services,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,37860.56,USD,High,In Progress,Pricing & Valuation,2026-08-09 19:41:00,,Late file delivery
EXC-000098,2026-08-03 00:39:00,PORT-1033,Fixed Income,Harbor Trade Services,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,3641.5,USD,Low,In Progress,Reconciliation Operations,2026-08-06 00:39:00,,Data mapping variance
EXC-000099,2026-08-07 09:00:00,PORT-1070,Equity,Summit Custody,Reconciliation Break,Cash and position reconciliation identified a synthetic variance requiring investigation.,4594.96,USD,Medium,Open,Reconciliation Operations,2026-08-08 21:00:00,,Position or cash mismatch
EXC-000100,2026-08-03 20:56:00,PORT-1023,Equity,Aurora Securities,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,29811.03,USD,Critical,In Progress,Settlement Operations,2026-08-04 02:56:00,,Manual processing error
EXC-000101,2026-07-30 16:12:00,PORT-1075,ETF,Cedar Exchange,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,7799.35,EUR,Critical,Resolved,Settlement Operations,2026-07-30 22:12:00,2026-07-30 22:21:19.499756974,Data mapping variance
EXC-000102,2026-08-09 06:59:00,PORT-1043,Equity,Harbor Trade Services,Reporting Delay,Synthetic reporting package is delayed because an upstream input is incomplete.,31055.17,JPY,Low,In Progress,Client Reporting,2026-08-12 06:59:00,,Upstream data delivery delay
EXC-000103,2026-08-03 14:12:00,PORT-1060,Derivative,Aurora Securities,Missing Trade Confirmation,Synthetic trade record is awaiting a counterparty confirmation within the control window.,33050.6,JPY,Low,Resolved,Trade Support,2026-08-06 14:12:00,2026-08-04 18:42:42.823717907,Counterparty confirmation delay
EXC-000104,2026-07-30 10:01:00,PORT-1012,Equity,Harbor Trade Services,Failed Settlement,Synthetic settlement instruction did not complete by the expected cycle.,16086.8,EUR,Medium,Resolved,Settlement Operations,2026-07-31 22:01:00,2026-08-01 14:30:03.368714216,Settlement instruction or funding issue
EXC-000105,2026-08-06 00:18:00,PORT-1021,ETF,Aurora Securities,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,180862.44,EUR,Low,Resolved,Compliance Operations,2026-08-09 00:18:00,2026-08-06 14:25:44.829783881,Policy threshold review
EXC-000106,2026-08-01 04:50:00,PORT-1089,Fixed Income,Harbor Trade Services,Compliance Review,Synthetic control threshold requires documented analyst review before closure.,50010.62,USD,High,Resolved,Compliance Operations,2026-08-01 20:50:00,2026-08-01 19:43:20.248949735,Policy threshold review
EXC-000107,2026-08-01 02:12:00,PORT-1082,Fixed Income,Meridian Markets,Pricing Discrepancy,Synthetic valuation check found a price difference against an independent source.,96006.43,GBP,Critical,Escalated,Pricing & Valuation,2026-08-01 08:12:00,,Market data variance
