ticket_id,created_at,business_unit,process_area,issue_description,issue_category,priority,status,assigned_team,sla_hours,resolution_hours,manually_estimated_minutes,ai_estimated_minutes,human_review_decision
OPS-01089,2025-01-11 19:11:38,Investment Operations,Trade Settlement,Analyst identified incomplete valuation information in the trade settlement queue for fund ORION.,Missing Data,Medium,Resolved,Settlement Operations Team,48,34.1,18,7,Accepted
OPS-00080,2025-01-12 00:12:47,Accounting Operations,Accounting Exception,Accounting Exception data mismatch detected between pricing feed and control file for mandate NOVA.,Data Mismatch,High,Resolved,Accounting Control Team,20,9.1,23,10,Adjusted
OPS-00427,2025-01-12 08:55:29,Accounting Operations,Reconciliation,Reconciliation failed after a difference was detected between trade feed and custodian record for fund RIVER.,Failed Reconciliation,High,In Review,Reconciliation Team,24,,36,18,Pending
OPS-00931,2025-01-13 03:07:21,Client Reporting,Client Request,"Required reference data was not received for portfolio ALPHA, blocking client request processing.",Missing Data,Medium,In Review,Client Service Team,48,,21,11,Rejected
OPS-00185,2025-01-13 11:24:41,Data Operations,Trade Settlement,A manual override was requested for account S-204 after an automated trade settlement validation failed.,Manual Override,Low,Resolved,Settlement Operations Team,68,55.0,17,10,Accepted
OPS-00916,2025-01-13 12:30:14,Investment Operations,Accounting Exception,Exception workflow needs a reviewed override for portfolio ALPHA before processing can continue.,Manual Override,Medium,Resolved,Accounting Control Team,52,30.5,11,6,Accepted
OPS-00919,2025-01-13 16:05:17,Client Reporting,Client Request,Analyst identified incomplete counterparty confirmation information in the client request queue for fund RIVER.,Missing Data,Low,Resolved,Client Service Team,72,67.7,18,10,Accepted
OPS-00236,2025-01-13 19:18:23,Investment Operations,Data Quality,"Required reference data was not received for portfolio ALPHA, blocking data quality processing.",Missing Data,Medium,Resolved,Data Quality Team,52,19.8,9,3,Accepted
OPS-00542,2025-01-13 22:27:33,Investment Operations,Pricing Issue,Pricing review is required for fund ORION after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Open,Pricing Control Team,24,,38,22,Pending
OPS-01246,2025-01-14 18:27:39,Accounting Operations,Accounting Exception,Exception workflow needs a reviewed override for mandate NOVA before processing can continue.,Manual Override,Medium,Resolved,Accounting Control Team,48,51.5,14,5,Accepted
OPS-00399,2025-01-15 05:16:44,Accounting Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for fund RIVER.,Failed Reconciliation,Low,Resolved,Reconciliation Team,72,68.1,22,8,Accepted
OPS-00606,2025-01-15 12:28:46,Investment Operations,Trade Settlement,A manual override was requested for fund ORION after an automated trade settlement validation failed.,Manual Override,Medium,Resolved,Settlement Operations Team,52,48.7,21,9,Accepted
OPS-00124,2025-01-15 20:03:12,Investment Operations,Trade Settlement,"Required counterparty confirmation was not received for account S-204, blocking trade settlement processing.",Missing Data,Critical,Open,Settlement Operations Team,4,,44,26,Rejected
OPS-00559,2025-01-15 20:49:24,Data Operations,Pricing Issue,Pricing review is required for portfolio ALPHA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Critical,Escalated,Pricing Control Team,4,,49,24,Accepted
OPS-00063,2025-01-15 23:51:10,Accounting Operations,Accounting Exception,NAV reconciliation difference detected between source data and the accounting report for fund ORION.,Failed Reconciliation,Critical,Open,Accounting Control Team,8,,42,14,Pending
OPS-00973,2025-01-16 00:46:31,Investment Operations,Trade Settlement,Analyst identified incomplete counterparty confirmation information in the trade settlement queue for fund RIVER.,Missing Data,Critical,Open,Settlement Operations Team,8,,42,14,Pending
OPS-00048,2025-01-16 01:09:16,Data Operations,Reconciliation,"Required account balance was not received for fund RIVER, blocking reconciliation processing.",Missing Data,Medium,Resolved,Reconciliation Team,52,29.3,15,5,Adjusted
OPS-00040,2025-01-16 10:59:26,Compliance Operations,Compliance Review,account S-204 has inconsistent security identifier information requiring comparison across input files.,Data Mismatch,Low,Resolved,Compliance Review Team,68,50.8,14,5,Accepted
OPS-01013,2025-01-17 07:52:15,Data Operations,Trade Settlement,"Confirmation status remains pending for fund RIVER, delaying the settlement workflow.",Late Confirmation,High,Resolved,Settlement Operations Team,24,13.9,36,14,Accepted
OPS-01136,2025-01-18 01:08:04,Accounting Operations,Reconciliation,Reconciliation data mismatch detected between pricing feed and control file for mandate NOVA.,Data Mismatch,Medium,Resolved,Reconciliation Team,44,22.1,20,8,Accepted
OPS-00283,2025-01-18 06:54:23,Investment Operations,Pricing Issue,Pricing review is required for mandate NOVA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Critical,Escalated,Pricing Control Team,8,5.8,61,21,Adjusted
OPS-00518,2025-01-18 16:36:33,Risk Operations,Accounting Exception,Accounting Exception data mismatch detected between source system and accounting report for fund ORION.,Data Mismatch,High,Escalated,Accounting Control Team,28,23.2,35,13,Pending
OPS-00791,2025-01-18 21:40:15,Accounting Operations,Reconciliation,A manual override was requested for portfolio HORIZON after an automated reconciliation validation failed.,Manual Override,Medium,Resolved,Reconciliation Team,48,45.5,17,9,Accepted
OPS-00873,2025-01-18 22:41:24,Client Reporting,Data Quality,Validation found a discrepancy in account balance values between source records and the operational report for fund ORION.,Data Mismatch,Medium,In Review,Data Quality Team,48,,17,6,Accepted
OPS-00031,2025-01-19 07:16:49,Risk Operations,Accounting Exception,Validation found a discrepancy in security identifier values between source records and the operational report for fund ORION.,Data Mismatch,High,Resolved,Accounting Control Team,28,22.6,25,10,Accepted
OPS-00326,2025-01-19 09:32:35,Client Reporting,Reporting,Scheduled reporting output has not completed because security identifier is still pending for portfolio HORIZON.,Report Delay,Low,In Review,Client Reporting Team,72,,5,2,Pending
OPS-00874,2025-01-19 10:38:12,Accounting Operations,Accounting Exception,Analyst identified incomplete security identifier information in the accounting exception queue for fund RIVER.,Missing Data,Medium,Resolved,Accounting Control Team,48,96.8,21,11,Accepted
OPS-00717,2025-01-19 12:33:26,Client Reporting,Client Request,Client reporting package for mandate NOVA is delayed due to missing benchmark data.,Report Delay,Low,Open,Client Service Team,68,,11,6,Adjusted
OPS-00039,2025-01-20 08:30:25,Client Reporting,Client Request,Client Request workflow is waiting for missing benchmark data for portfolio ALPHA.,Missing Data,Low,Resolved,Client Service Team,76,52.5,5,2,Adjusted
OPS-00495,2025-01-20 09:41:30,Investment Operations,Trade Settlement,"Confirmation status remains pending for account S-204, delaying the settlement workflow.",Late Confirmation,High,In Review,Settlement Operations Team,20,,37,22,Accepted
OPS-00582,2025-01-21 03:28:35,Data Operations,Data Quality,Data Quality data mismatch detected between source system and accounting report for mandate NOVA.,Data Mismatch,Medium,Resolved,Data Quality Team,48,44.8,17,7,Accepted
OPS-00975,2025-01-21 20:56:34,Accounting Operations,Accounting Exception,Accounting Exception data mismatch detected between trade feed and custodian record for account S-204.,Data Mismatch,Low,Escalated,Accounting Control Team,76,58.7,11,5,Accepted
OPS-00293,2025-01-21 21:58:25,Investment Operations,Trade Settlement,Trade settlement is delayed because counterparty confirmation for mandate NOVA has not arrived.,Late Confirmation,High,Resolved,Settlement Operations Team,24,20.5,23,12,Accepted
OPS-01161,2025-01-21 23:59:33,Investment Operations,Compliance Review,Compliance Review workflow is waiting for missing reference data data for fund RIVER.,Missing Data,Medium,In Review,Compliance Review Team,44,,17,6,Accepted
OPS-01122,2025-01-22 02:28:08,Risk Operations,Compliance Review,Compliance Review identified a policy exception involving counterparty confirmation; human approval is required for portfolio HORIZON.,Policy Exception,High,Resolved,Compliance Review Team,20,37.4,39,13,Accepted
OPS-01127,2025-01-22 06:02:21,Accounting Operations,Reporting,Analyst identified incomplete benchmark information in the reporting queue for account S-204.,Missing Data,High,In Review,Client Reporting Team,24,,36,21,Pending
OPS-00965,2025-01-22 06:19:18,Client Reporting,Client Request,Analyst identified incomplete counterparty confirmation information in the client request queue for account S-204.,Missing Data,Medium,In Review,Client Service Team,44,,21,12,Accepted
OPS-01169,2025-01-22 09:28:22,Client Reporting,Reporting,Client reporting package for fund RIVER is delayed due to missing benchmark data.,Report Delay,Medium,Resolved,Client Reporting Team,48,16.4,11,5,Accepted
OPS-00517,2025-01-22 09:55:26,Client Reporting,Client Request,Report delivery is at risk after a late upstream data refresh for fund RIVER.,Report Delay,High,Open,Client Service Team,24,,28,16,Accepted
OPS-01043,2025-01-22 14:00:14,Investment Operations,Pricing Issue,Pricing Issue data mismatch detected between trade feed and custodian record for fund ORION.,Data Mismatch,Low,Resolved,Pricing Control Team,68,30.2,5,2,Adjusted
OPS-00241,2025-01-23 09:01:25,Investment Operations,Data Quality,Data Quality data mismatch detected between source system and accounting report for portfolio HORIZON.,Data Mismatch,Critical,In Review,Data Quality Team,8,,48,17,Pending
OPS-00443,2025-01-23 21:48:22,Data Operations,Data Quality,Validation found a discrepancy in counterparty confirmation values between source records and the operational report for fund ORION.,Data Mismatch,Medium,In Review,Data Quality Team,44,,17,7,Accepted
OPS-00834,2025-01-24 05:17:44,Investment Operations,Accounting Exception,Accounting Exception data mismatch detected between trade feed and custodian record for account S-204.,Data Mismatch,Critical,In Review,Accounting Control Team,12,,34,17,Adjusted
OPS-00230,2025-01-25 01:43:15,Client Reporting,Reporting,"Required valuation was not received for mandate NOVA, blocking reporting processing.",Missing Data,Medium,Resolved,Client Reporting Team,48,28.8,22,12,Adjusted
OPS-00228,2025-01-25 12:49:51,Investment Operations,Data Quality,Pricing review is required for fund ORION after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Resolved,Data Quality Team,24,22.7,42,24,Adjusted
OPS-01008,2025-01-25 22:13:59,Client Reporting,Reporting,Scheduled reporting output has not completed because account balance is still pending for account S-204.,Report Delay,Low,Resolved,Client Reporting Team,72,56.0,9,3,Accepted
OPS-00209,2025-01-26 01:07:07,Accounting Operations,Reconciliation,"Required account balance was not received for fund ORION, blocking reconciliation processing.",Missing Data,High,Resolved,Reconciliation Team,20,13.8,30,17,Accepted
OPS-00483,2025-01-26 02:08:51,Compliance Operations,Compliance Review,Compliance Review identified a policy exception involving account balance; human approval is required for portfolio HORIZON.,Policy Exception,Critical,Resolved,Compliance Review Team,12,5.6,52,26,Accepted
OPS-00924,2025-01-26 09:51:30,Investment Operations,Client Request,Report delivery is at risk after a late upstream data refresh for portfolio ALPHA.,Report Delay,Medium,Resolved,Client Service Team,52,22.4,25,14,Accepted
OPS-00673,2025-01-26 12:00:44,Compliance Operations,Compliance Review,Analyst requested an approved manual adjustment to reference data for fund ORION.,Manual Override,High,In Review,Compliance Review Team,24,,28,10,Pending
OPS-00562,2025-01-26 18:57:47,Data Operations,Pricing Issue,Pricing review is required for portfolio ALPHA after a tolerance breach in the valuation feed.,Pricing Discrepancy,Critical,In Review,Pricing Control Team,8,,57,27,Pending
OPS-00084,2025-01-27 04:34:32,Data Operations,Data Quality,Analyst identified incomplete account balance information in the data quality queue for mandate NOVA.,Missing Data,Low,In Review,Data Quality Team,72,,11,5,Accepted
OPS-00079,2025-01-27 05:09:43,Risk Operations,Pricing Issue,"Required account balance was not received for mandate NOVA, blocking pricing issue processing.",Missing Data,Critical,Escalated,Pricing Control Team,8,8.3,42,15,Adjusted
OPS-00330,2025-01-27 17:41:01,Client Reporting,Client Request,Scheduled client request output has not completed because account balance is still pending for mandate NOVA.,Report Delay,Critical,In Review,Client Service Team,8,,38,20,Pending
OPS-00404,2025-01-27 23:03:37,Investment Operations,Pricing Issue,Analyst requested an approved manual adjustment to valuation for account S-204.,Manual Override,Medium,Resolved,Pricing Control Team,48,65.4,25,11,Accepted
OPS-00082,2025-01-28 03:00:11,Accounting Operations,Reconciliation,Reconciliation workflow is waiting for missing valuation data for fund ORION.,Missing Data,Medium,In Review,Reconciliation Team,52,,8,3,Rejected
OPS-01130,2025-01-28 20:07:51,Accounting Operations,Reconciliation,Reconciliation data mismatch detected between pricing feed and control file for account S-204.,Data Mismatch,Medium,Open,Reconciliation Team,48,,18,7,Rejected
OPS-01141,2025-01-28 20:12:41,Client Reporting,Reporting,Analyst identified incomplete counterparty confirmation information in the reporting queue for portfolio ALPHA.,Missing Data,Medium,In Review,Client Reporting Team,44,,21,12,Pending
OPS-00837,2025-01-28 22:03:22,Investment Operations,Trade Settlement,Late confirmation received after the expected cutoff for mandate NOVA; settlement review is required.,Late Confirmation,High,Resolved,Settlement Operations Team,28,24.3,34,18,Accepted
OPS-00588,2025-01-29 02:30:26,Risk Operations,Pricing Issue,Validation found a discrepancy in benchmark values between source records and the operational report for account S-204.,Data Mismatch,High,In Review,Pricing Control Team,28,,27,9,Pending
OPS-00461,2025-01-29 04:51:01,Accounting Operations,Accounting Exception,Unresolved reconciliation break in counterparty confirmation requires source-system comparison for portfolio HORIZON.,Failed Reconciliation,Critical,Resolved,Accounting Control Team,4,8.0,53,32,Accepted
OPS-00045,2025-01-29 08:10:09,Investment Operations,Client Request,Scheduled client request output has not completed because account balance is still pending for account S-204.,Report Delay,Medium,Resolved,Client Service Team,48,15.9,21,12,Accepted
OPS-00279,2025-01-29 22:48:57,Client Reporting,Client Request,"Required counterparty confirmation was not received for fund ORION, blocking client request processing.",Missing Data,Medium,Open,Client Service Team,44,,13,4,Pending
OPS-00947,2025-01-30 13:37:39,Accounting Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for account S-204.,Failed Reconciliation,High,Escalated,Reconciliation Team,24,,35,19,Pending
OPS-00135,2025-01-30 14:54:32,Risk Operations,Accounting Exception,Analyst requested an approved manual adjustment to security identifier for fund RIVER.,Manual Override,High,Resolved,Accounting Control Team,24,37.2,34,15,Accepted
OPS-00240,2025-01-30 19:54:37,Compliance Operations,Compliance Review,Validation found a discrepancy in security identifier values between source records and the operational report for fund RIVER.,Data Mismatch,High,Open,Compliance Review Team,24,,25,15,Adjusted
OPS-00561,2025-01-31 12:22:59,Data Operations,Data Quality,A manual override was requested for portfolio ALPHA after an automated data quality validation failed.,Manual Override,Low,Resolved,Data Quality Team,72,68.0,5,2,Accepted
OPS-00928,2025-01-31 21:35:32,Accounting Operations,Reconciliation,portfolio ALPHA has inconsistent account balance information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Reconciliation Team,48,13.4,20,11,Accepted
OPS-00463,2025-02-01 09:21:03,Compliance Operations,Compliance Review,Exception workflow needs a reviewed override for account S-204 before processing can continue.,Manual Override,Medium,Resolved,Compliance Review Team,48,27.3,20,10,Accepted
OPS-00667,2025-02-02 04:21:09,Data Operations,Reporting,A manual override was requested for fund RIVER after an automated reporting validation failed.,Manual Override,Low,Open,Client Reporting Team,72,,7,4,Pending
OPS-00982,2025-02-02 05:51:56,Risk Operations,Compliance Review,Control check flagged portfolio ALPHA outside the configured policy threshold and needs documented review.,Policy Exception,Critical,In Review,Compliance Review Team,8,,48,19,Pending
OPS-00639,2025-02-02 16:11:08,Compliance Operations,Compliance Review,Exception workflow needs a reviewed override for portfolio ALPHA before processing can continue.,Manual Override,Low,Resolved,Compliance Review Team,76,30.9,5,3,Adjusted
OPS-00183,2025-02-02 18:02:45,Accounting Operations,Reconciliation,Unresolved reconciliation break in account balance requires source-system comparison for fund RIVER.,Failed Reconciliation,High,In Review,Reconciliation Team,24,,41,16,Accepted
OPS-00176,2025-02-03 12:47:55,Data Operations,Pricing Issue,Pricing Issue data mismatch detected between pricing feed and control file for portfolio ALPHA.,Data Mismatch,Critical,Escalated,Pricing Control Team,8,9.5,47,17,Pending
OPS-00073,2025-02-04 08:04:13,Investment Operations,Accounting Exception,Accounting Exception data mismatch detected between trade feed and custodian record for fund ORION.,Data Mismatch,Medium,Resolved,Accounting Control Team,52,27.4,19,7,Rejected
OPS-00043,2025-02-04 18:19:15,Investment Operations,Reconciliation,NAV reconciliation difference detected between source data and the accounting report for mandate NOVA.,Failed Reconciliation,High,Open,Reconciliation Team,24,,38,18,Pending
OPS-00866,2025-02-04 19:08:40,Client Reporting,Client Request,Exception workflow needs a reviewed override for fund ORION before processing can continue.,Manual Override,Low,Escalated,Client Service Team,68,,5,3,Accepted
OPS-00353,2025-02-04 20:26:04,Data Operations,Data Quality,portfolio HORIZON has inconsistent reference data information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Data Quality Team,48,36.5,18,9,Accepted
OPS-00799,2025-02-04 20:36:58,Data Operations,Reconciliation,Analyst requested an approved manual adjustment to account balance for mandate NOVA.,Manual Override,Medium,Resolved,Reconciliation Team,44,19.7,17,9,Accepted
OPS-00035,2025-02-04 22:08:06,Investment Operations,Compliance Review,Exception workflow needs a reviewed override for account S-204 before processing can continue.,Manual Override,Low,Resolved,Compliance Review Team,76,25.5,18,9,Accepted
OPS-00851,2025-02-04 22:26:23,Investment Operations,Pricing Issue,Pricing review is required for mandate NOVA after a tolerance breach in the valuation feed.,Pricing Discrepancy,High,Open,Pricing Control Team,20,,37,19,Pending
OPS-00523,2025-02-04 22:52:25,Client Reporting,Client Request,"Required counterparty confirmation was not received for portfolio HORIZON, blocking client request processing.",Missing Data,Medium,Open,Client Service Team,52,,21,10,Pending
OPS-01149,2025-02-05 01:43:06,Accounting Operations,Accounting Exception,Unresolved reconciliation break in account balance requires source-system comparison for fund RIVER.,Failed Reconciliation,Medium,Resolved,Accounting Control Team,44,33.7,24,9,Accepted
OPS-00356,2025-02-06 01:34:33,Data Operations,Trade Settlement,portfolio ALPHA has inconsistent account balance information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Settlement Operations Team,52,75.5,22,9,Accepted
OPS-00100,2025-02-06 01:45:23,Investment Operations,Pricing Issue,Independent price verification found an unusual security identifier variance for portfolio HORIZON.,Pricing Discrepancy,Low,Open,Pricing Control Team,68,,19,9,Accepted
OPS-01065,2025-02-06 13:30:55,Investment Operations,Trade Settlement,Trade Settlement workflow is waiting for missing reference data data for fund RIVER.,Missing Data,High,Escalated,Settlement Operations Team,20,,33,13,Adjusted
OPS-01058,2025-02-07 03:18:20,Accounting Operations,Accounting Exception,A manual override was requested for fund RIVER after an automated accounting exception validation failed.,Manual Override,Medium,Escalated,Accounting Control Team,48,,22,10,Pending
OPS-00605,2025-02-07 11:36:10,Accounting Operations,Reconciliation,Reconciliation failed after a difference was detected between source system and accounting report for fund ORION.,Failed Reconciliation,Medium,Resolved,Reconciliation Team,44,38.3,25,13,Accepted
OPS-00167,2025-02-07 12:30:28,Risk Operations,Compliance Review,Analyst requested an approved manual adjustment to counterparty confirmation for account S-204.,Manual Override,High,Resolved,Compliance Review Team,20,13.4,20,7,Accepted
OPS-01242,2025-02-07 14:58:39,Compliance Operations,Compliance Review,portfolio ALPHA has inconsistent account balance information requiring comparison across input files.,Data Mismatch,Medium,Resolved,Compliance Review Team,48,28.4,16,8,Accepted
OPS-00239,2025-02-07 17:06:29,Compliance Operations,Compliance Review,Control check flagged portfolio HORIZON outside the configured policy threshold and needs documented review.,Policy Exception,Medium,Open,Compliance Review Team,48,,27,11,Pending
OPS-00622,2025-02-07 18:38:45,Investment Operations,Trade Settlement,"Required valuation was not received for portfolio HORIZON, blocking trade settlement processing.",Missing Data,Medium,Resolved,Settlement Operations Team,48,33.0,23,13,Accepted
OPS-01026,2025-02-07 21:44:24,Data Operations,Data Quality,Data Quality data mismatch detected between pricing feed and control file for fund RIVER.,Data Mismatch,High,In Review,Data Quality Team,20,,27,9,Pending
OPS-00683,2025-02-08 06:05:58,Data Operations,Trade Settlement,portfolio HORIZON has inconsistent reference data information requiring comparison across input files.,Data Mismatch,Medium,In Review,Settlement Operations Team,48,,10,4,Pending
OPS-00798,2025-02-08 09:28:22,Client Reporting,Client Request,Analyst identified incomplete security identifier information in the client request queue for portfolio HORIZON.,Missing Data,High,Escalated,Client Service Team,24,,29,11,Accepted
OPS-00361,2025-02-08 14:56:06,Investment Operations,Pricing Issue,Independent price verification found an unusual valuation variance for fund ORION.,Pricing Discrepancy,Medium,Resolved,Pricing Control Team,52,40.2,27,10,Accepted
OPS-00440,2025-02-08 20:43:06,Client Reporting,Client Request,A manual override was requested for portfolio HORIZON after an automated client request validation failed.,Manual Override,High,Resolved,Client Service Team,24,6.9,31,16,Accepted
OPS-00432,2025-02-10 04:29:11,Accounting Operations,Accounting Exception,Unresolved reconciliation break in reference data requires source-system comparison for portfolio ALPHA.,Failed Reconciliation,High,In Review,Accounting Control Team,28,,43,21,Pending
OPS-01209,2025-02-10 20:38:01,Investment Operations,Accounting Exception,Accounting Exception data mismatch detected between source system and accounting report for mandate NOVA.,Data Mismatch,Medium,Resolved,Accounting Control Team,52,48.3,14,7,Accepted
OPS-00384,2025-02-10 21:33:19,Data Operations,Data Quality,Analyst requested an approved manual adjustment to security identifier for fund RIVER.,Manual Override,High,In Review,Data Quality Team,24,,30,10,Accepted
OPS-00068,2025-02-11 05:35:35,Investment Operations,Reconciliation,Reconciliation failed after a difference was detected between source system and accounting report for mandate NOVA.,Failed Reconciliation,Critical,In Review,Reconciliation Team,12,,49,20,Adjusted
OPS-00854,2025-02-11 06:26:15,Accounting Operations,Accounting Exception,Analyst requested an approved manual adjustment to counterparty confirmation for mandate NOVA.,Manual Override,Medium,In Review,Accounting Control Team,48,,29,13,Pending
OPS-00254,2025-02-11 06:36:30,Client Reporting,Client Request,Analyst identified incomplete security identifier information in the client request queue for account S-204.,Missing Data,Low,Resolved,Client Service Team,72,58.2,6,2,Accepted
OPS-00942,2025-02-11 15:11:01,Data Operations,Reporting,Reporting workflow is waiting for missing security identifier data for portfolio ALPHA.,Missing Data,Medium,In Review,Client Reporting Team,52,,10,6,Pending
OPS-00914,2025-02-12 00:34:33,Risk Operations,Accounting Exception,Analyst requested an approved manual adjustment to counterparty confirmation for portfolio HORIZON.,Manual Override,High,In Review,Accounting Control Team,20,,39,16,Pending
OPS-00287,2025-02-12 09:01:47,Investment Operations,Client Request,Scheduled client request output has not completed because security identifier is still pending for mandate NOVA.,Report Delay,Medium,Open,Client Service Team,48,,12,5,Accepted
